kernel,dataset,rows,cols,nnzs,elapsed
merge-path,ACTIVSg2000,4000,4000,29336,0.019043
merge-path,ACTIVSg70K,69999,69999,238627,0.0241699
merge-path,adaptive,6815744,6815744,27248640,0.667236
merge-path,add20,2395,2395,17319,0.0178223
merge-path,add32,4960,4960,23884,0.0180664
merge-path,adder_dcop_01,1813,1813,11156,0.019043
merge-path,adder_dcop_02,1813,1813,11246,0.0180664
merge-path,adder_dcop_03,1813,1813,11148,0.0187988
merge-path,adder_dcop_04,1813,1813,11107,0.0178223
merge-path,adder_dcop_05,1813,1813,11097,0.0180664
merge-path,adder_dcop_06,1813,1813,11224,0.019043
merge-path,adder_dcop_07,1813,1813,11226,0.019043
merge-path,adder_dcop_08,1813,1813,11242,0.019043
merge-path,adder_dcop_09,1813,1813,11239,0.0180664
merge-path,adder_dcop_10,1813,1813,11232,0.019043
merge-path,adder_dcop_11,1813,1813,11243,0.0180664
merge-path,adder_dcop_12,1813,1813,11246,0.0187988
merge-path,adder_dcop_13,1813,1813,11245,0.0180664
merge-path,adder_dcop_14,1813,1813,11246,0.019043
merge-path,adder_dcop_15,1813,1813,11246,0.019043
merge-path,adder_dcop_16,1813,1813,11246,0.019043
merge-path,adder_dcop_17,1813,1813,11246,0.019043
merge-path,adder_dcop_18,1813,1813,11246,0.019043
merge-path,adder_dcop_19,1813,1813,11245,0.019043
merge-path,adder_dcop_20,1813,1813,11246,0.0178223
merge-path,adder_dcop_21,1813,1813,11246,0.019043
merge-path,adder_dcop_22,1813,1813,11246,0.019043
merge-path,adder_dcop_23,1813,1813,11246,0.0200195
merge-path,adder_dcop_24,1813,1813,11246,0.0180664
merge-path,adder_dcop_25,1813,1813,11246,0.0180664
merge-path,adder_dcop_26,1813,1813,11246,0.0180664
merge-path,adder_dcop_27,1813,1813,11246,0.019043
merge-path,adder_dcop_28,1813,1813,11246,0.019043
merge-path,adder_dcop_29,1813,1813,11246,0.019043
merge-path,adder_dcop_30,1813,1813,11246,0.019043
merge-path,adder_dcop_31,1813,1813,11246,0.019043
merge-path,adder_dcop_32,1813,1813,11246,0.019043
merge-path,adder_dcop_33,1813,1813,11246,0.019043
merge-path,adder_dcop_34,1813,1813,11246,0.019043
merge-path,adder_dcop_35,1813,1813,11246,0.0200195
merge-path,adder_dcop_36,1813,1813,11246,0.0187988
merge-path,adder_dcop_37,1813,1813,11246,0.0178223
merge-path,adder_dcop_38,1813,1813,11246,0.0200195
merge-path,adder_dcop_39,1813,1813,11246,0.0200195
merge-path,adder_dcop_40,1813,1813,11246,0.019043
merge-path,adder_dcop_41,1813,1813,11246,0.019043
merge-path,adder_dcop_42,1813,1813,11246,0.0200195
merge-path,adder_dcop_43,1813,1813,11246,0.019043
merge-path,adder_dcop_44,1813,1813,11245,0.0187988
merge-path,adder_dcop_45,1813,1813,11246,0.019043
merge-path,adder_dcop_46,1813,1813,11246,0.0180664
merge-path,adder_dcop_47,1813,1813,11246,0.019043
merge-path,adder_dcop_48,1813,1813,11246,0.019043
merge-path,adder_dcop_49,1813,1813,11246,0.019043
merge-path,adder_dcop_50,1813,1813,11246,0.019043
merge-path,adder_dcop_51,1813,1813,11246,0.019043
merge-path,adder_dcop_52,1813,1813,11246,0.019043
merge-path,adder_dcop_53,1813,1813,11246,0.019043
merge-path,adder_dcop_54,1813,1813,11246,0.0187988
merge-path,adder_dcop_55,1813,1813,11246,0.0178223
merge-path,adder_dcop_56,1813,1813,11246,0.019043
merge-path,adder_dcop_57,1813,1813,11246,0.0200195
merge-path,adder_dcop_58,1813,1813,11246,0.0187988
merge-path,adder_dcop_59,1813,1813,11246,0.019043
merge-path,adder_dcop_60,1813,1813,11246,0.0187988
merge-path,adder_dcop_61,1813,1813,11246,0.019043
merge-path,adder_dcop_62,1813,1813,11246,0.0180664
merge-path,adder_dcop_63,1813,1813,11246,0.0178223
merge-path,adder_dcop_64,1813,1813,11246,0.0180664
merge-path,adder_dcop_65,1813,1813,11246,0.0200195
merge-path,adder_dcop_66,1813,1813,11246,0.0219727
merge-path,adder_dcop_67,1813,1813,11246,0.019043
merge-path,adder_dcop_68,1813,1813,11246,0.0187988
merge-path,adder_dcop_69,1813,1813,11246,0.0187988
merge-path,adder_trans_01,1814,1814,14579,0.0180664
merge-path,adder_trans_02,1814,1814,14579,0.019043
merge-path,adjnoun,112,112,850,0.0180664
merge-path,af_0_k101,503625,503625,17550675,0.24707
merge-path,af_1_k101,503625,503625,17550675,0.245117
merge-path,af_2_k101,503625,503625,17550675,0.245117
merge-path,af_3_k101,503625,503625,17550675,0.246826
merge-path,af_4_k101,503625,503625,17550675,0.245117
merge-path,af_5_k101,503625,503625,17550675,0.24707
merge-path,af_shell1,504855,504855,17588875,0.245117
merge-path,af_shell10,1508065,1508065,52672325,0.651855
merge-path,af_shell2,504855,504855,17588875,0.24292
merge-path,af_shell3,504855,504855,17588875,0.244141
merge-path,af_shell4,504855,504855,17588875,0.24707
